"binder_name","binder_evolution_type","binder_target","binder_experiment","staining_0_nM","staining_0.1_nM","staining_1_nM","staining_10_nM","staining_100_nM","coculture CAR Only","coculture K562","coculture K562 BCMA OE","coculture K562 CD19 OE","coculture K562 CD22 OE","coculture Raji","coculture Raji CD19 OE","coculture Raji CD19 KO","coculture RPMI 8226","coculture Nalm6","coculture Nalm6 CD22 OE","coculture DG-75","coculture Ramos","coculture SET-2","coculture U937","coculture A549","coculture Hela","coculture MDA-MB-468","mean_BCMA_positive_activity","max_BCMA_negative_activity","mean_CD19_positive_activity","max_CD19_negative_activity","mean_CD22_positive_activity","max_CD22_negative_activity","BCMA_activity_gain","BCMA_activity_ratio","CD19_activity_gain","CD19_activity_ratio","CD22_activity_gain","CD22_activity_ratio","overall_activity_gain","overall_activity_ratio","overall_mean_positive_activity","overall_max_negative_activity","estimated_Kd","nls_kd","nls_kd_scaled","sp_kd","sp_kd_scaled","kd_fit_quality","kd_R2","Kd_estimate_nM_clipped","Kd_estimate_molar","neg_log10_Kd_M","clipped_neg_log10_Kd_M"
"BCMA_l59_nonint_1481","non-interface","BCMA","BCMA",0.95,1.18,3.39,85.1,99.7,72.8,64.7,81.4,NA,NA,80.7,NA,NA,88.6,NA,NA,79.5,75.5,69.1,73.5,48.1,54.6,55.7,81.14,73.5,NA,NA,NA,88.6,8.34000000000002,1.11456043956044,NA,NA,NA,NA,8.34000000000002,1.11456043956044,81.14,73.5,103.115043341133,4.8336370783519,103.115043341133,13.1962397179788,281.512825311935,"Good (Curve Fit)",0.96098507524144,1000,1.03115043341133e-07,6.98667797134639,6.98667797134639
"BCMA_l59_nonint_1890","non-interface","BCMA","BCMA",1.04,1.6,32.9,99.1,99.6,13.7,12.1,56.7,NA,NA,21.4,NA,NA,58.1,NA,NA,16.1,25.8,13.2,14.5,11.1,13.4,19.6,35.62,19.6,NA,NA,NA,58.1,21.92,2.6,NA,NA,NA,NA,21.92,2.6,35.62,19.6,40.8464676548821,1.91472547728234,40.8464676548821,9.91927346115036,211.605939022591,"Good (Curve Fit)",0.985361825268264,1000,4.08464676548821e-08,7.38884549468416,7.38884549468416
"BCMA_l59_nonint_1951","non-interface","BCMA","BCMA",1.82,1.45,9.9,97.4,99.7,19.2,21,60.2,NA,NA,26.9,NA,NA,62.8,NA,NA,32.5,23.5,19.1,20,19.5,21.6,22,41.18,22,NA,NA,NA,62.8,21.98,2.14479166666667,NA,NA,NA,NA,21.98,2.14479166666667,41.18,22,74.8257378871251,3.50754312219712,74.8257378871251,10.2669404517454,219.022651577211,"Good (Curve Fit)",0.95217916243312,1000,7.48257378871251e-08,7.12594899171161,7.12594899171161
"BCMA_NB","neg_control","BCMA","BCMA",0.91,1.24,0.93,0.95,1.07,2.97,3.56,5.13,NA,NA,9.26,NA,NA,5.39,NA,NA,3.95,3.56,3.73,3.23,3.19,3.83,4.06,5.458,4.06,NA,NA,NA,5.39,2.488,1.83771043771044,NA,NA,NA,NA,2.488,1.83771043771044,5.458,4.06,44113.9977946128,-0.0209155583097616,-0.446187553317598,2067.89473684211,44113.9977946128,"Compromise (Single Point Estimate)",-10.0813490800099,44113.9977946128,4.41139977946128e-05,4.35542358285941,6
"BCMA_UTD","neg_control","BCMA","BCMA",1.09,1.15,1.09,1.41,1.97,0.22,0.31,1.02,NA,NA,3.92,NA,NA,0.43,NA,NA,0.51,0.33,0.24,0.2,0.12,0.22,0.25,1.242,0.31,NA,NA,NA,0.43,1.022,5.64545454545455,NA,NA,NA,NA,1.022,5.64545454545455,1.242,0.31,29652.6007064323,0.0426198434262008,0.909200862796975,1390,29652.6007064323,"Compromise (Single Point Estimate)",-1.74211553806009,29652.6007064323,2.96526007064323e-05,4.52793721046429,6
"CD19_l112_FMC63","pos_control","CD19","CD19_l112",0.22,0.48,56.6,95.8,94.4,3.24,4.52,NA,96.5,NA,97.2,NA,14.6,NA,NA,NA,93,93.4,NA,NA,NA,NA,NA,NA,NA,96.85,14.6,NA,NA,NA,NA,93.61,29.891975308642,NA,NA,93.61,29.891975308642,96.85,14.6,5,0.847810496818346,5,5,29.487721718261,"Known",0.984208897692422,1000,5e-09,8.30102999566398,8.30102999566398
"CD19_l112_int_0963","interface","CD19","CD19_l112",0.61,1.73,52.9,97.1,99,4.79,6.19,NA,12.6,NA,18.8,NA,17,NA,NA,NA,7.42,4.4,NA,NA,NA,NA,NA,NA,NA,15.7,17,NA,NA,NA,NA,10.91,3.2776617954071,NA,NA,10.91,3.2776617954071,15.7,17,5.94070576719216,1.00731854158696,5.94070576719216,0.121212121212126,0.714853859836658,"Good (Curve Fit)",0.991334457665292,1000,5.94070576719216e-09,8.2261619569398,8.2261619569398
"CD19_l112_int_1670","interface","CD19","CD19_l112",0.14,0.18,0.15,0.17,0.14,4.45,5.44,NA,10.5,NA,16.4,NA,16.5,NA,NA,NA,6.09,4.7,NA,NA,NA,NA,NA,NA,NA,13.45,16.5,NA,NA,NA,NA,9,3.02247191011236,NA,NA,9,3.02247191011236,13.45,16.5,416956.385096211,-0.0151345479912602,-0.0892566678995892,70700,416956.385096211,"Compromise (Single Point Estimate)",-14.2110472831461,416956.385096211,0.000416956385096211,3.37990937117178,6
"CD19_l112_int_2114","interface","CD19","CD19_l112",0.095,0.1,0.15,0.14,0.23,6.67,8.47,NA,16.5,NA,26.6,NA,25.9,NA,NA,NA,14.5,8,NA,NA,NA,NA,NA,NA,NA,21.55,25.9,NA,NA,NA,NA,14.88,3.23088455772114,NA,NA,14.88,3.23088455772114,21.55,25.9,253568.765279898,0.0920669943062187,0.5429691815077,42995.652173913,253568.765279898,"Compromise (Single Point Estimate)",-0.126579877151,253568.765279898,0.000253568765279898,3.59590424409482,6
"CD19_l112_int_2534","interface","CD19","CD19_l112",0.081,0.13,0.1,0.18,0.18,5.36,6.5,NA,12.8,NA,17,NA,17.1,NA,NA,NA,6.36,4.74,NA,NA,NA,NA,NA,NA,NA,14.9,17.1,NA,NA,NA,NA,9.54,2.77985074626866,NA,NA,9.54,2.77985074626866,14.9,17.1,324168.354089416,0.0290200847955543,0.171147236938329,54966.6666666667,324168.354089416,"Compromise (Single Point Estimate)",-0.275359457891859,324168.354089416,0.000324168354089416,3.48922938404383,6
"CD19_l112_int_2630","interface","CD19","CD19_l112",0.13,0.16,0.13,0.14,0.22,11.9,12.5,NA,18.4,NA,22.1,NA,22.8,NA,NA,NA,13.3,11.4,NA,NA,NA,NA,NA,NA,NA,20.25,22.8,NA,NA,NA,NA,8.35,1.70168067226891,NA,NA,8.35,1.70168067226891,20.25,22.8,265121.42526691,0.00576172011982434,0.0339799999023771,44954.5454545455,265121.42526691,"Compromise (Single Point Estimate)",-2.79754235453796,265121.42526691,0.00026512142526691,3.57655517419371,6
"CD19_l112_int_3043","interface","CD19","CD19_l112",0.12,0.16,0.092,0.18,0.16,4.1,5.17,NA,10.7,NA,13.4,NA,13.7,NA,NA,NA,6.06,4.29,NA,NA,NA,NA,NA,NA,NA,12.05,13.7,NA,NA,NA,NA,7.95,2.9390243902439,NA,NA,7.95,2.9390243902439,12.05,13.7,364763.117654889,-0.00670405650569673,-0.0395374705246965,61850,364763.117654889,"Compromise (Single Point Estimate)",-2.69985987455703,364763.117654889,0.000364763117654889,3.43798908100354,6
"CD19_l112_int_3137","interface","CD19","CD19_l112",0.13,0.13,0.12,0.19,0.26,8.93,9.88,NA,27.5,NA,37.9,NA,38,NA,NA,NA,66,8.65,NA,NA,NA,NA,NA,NA,NA,32.7,38,NA,NA,NA,NA,23.77,3.66181410974244,NA,NA,23.77,3.66181410974244,32.7,38,224242.782235945,0.0794554024775866,0.4685917594543,38023.0769230769,224242.782235945,"Compromise (Single Point Estimate)",-0.784324740281825,224242.782235945,0.000224242782235945,3.64928152681474,6
