binder_id,CD19_M1F_R1,CD19_M1F_R2,CD19_M1_R1,CD19_M1_R2,CD19_M2F_R1,CD19_M2F_R2,CD19_M2_R1,CD19_M2_R2,CD19_M3F_R1,CD19_M3F_R2,CD19_parental_R1,CD19_parental_R2,CD19_parental_mean,CD19_M1_mean,CD19_M2_mean,CD19_M1F_mean,CD19_M2F_mean,CD19_M3F_mean,binder_name
i60_93_dldesign_7,19.2688,0.951355,35375.5,938.113,60.2145,3.57593,67261.7,189745.0,927.484,131.814,12.078,45.8936,28.985799999999998,18156.8065,128503.35,10.1100775,31.895215,529.649,i60_93_dldesign_7
i64_387_dldesign_0,12.6618,44.0358,14956.3,61321.2,18.9564,24.6538,56.305,267.832,9.2701,12.642,4.51584,9.82607,7.170954999999999,38138.75,162.0685,28.3488,21.8051,10.95605,i64_387_dldesign_0
i66_208_dldesign_0,2.05327,9.35006,2564.94,13.7114,1.76927,3.90853,9.47708,49.4214,1.49518,1.11547,6197.15,1532.02,3864.585,1289.3257,29.44924,5.701664999999999,2.8388999999999998,1.3053249999999998,i66_208_dldesign_0
i68_27_dldesign_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i68_27_dldesign_0
i69_197_dldesign_0,21.3882,73.2924,4641.27,32250.3,26.2862,29.9153,20700.7,87735.7,14.6527,59.1198,6.10967,13.2071,9.658385,18445.785,54218.2,47.3403,28.100749999999998,36.88625,i69_197_dldesign_0
i69_88_dldesign_0,37.9855,129.091,13.5302,138.323,52.8252,58.0267,152.748,900.745,355.703,76.4095,90256.0,64709.0,77482.5,75.92660000000001,526.7465,83.53825,55.42595,216.05624999999998,i69_88_dldesign_0
i70_160_dldesign_0,1.19774,3.01615,4427.27,76.6223,2.02202,2.55558,2.78738,30.2905,1.34566,0.929556,0.265638,0.422627,0.34413249999999995,2251.94615,16.53894,2.106945,2.2888,1.1376080000000002,i70_160_dldesign_0
i71_257_dldesign_0,677.066,3515.02,5066.78,21.3736,10.3628,10.974,39552.9,175.366,6.42926,36.0668,2.03656,4.43758,3.23707,2544.0768,19864.133,2096.043,10.6684,21.24803,i71_257_dldesign_0
i71_261_dldesign_0,4.44875,21.4147,8285.17,16070.9,6.3188,7.36608,23.9714,121.162,6.13022,5.0196,1.23964,3.69798,2.46881,12178.035,72.5667,12.931725,6.84244,5.574909999999999,i71_261_dldesign_0
i72_343_dldesign_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i72_343_dldesign_0
i72_36_dldesign_0,3813.95,114.915,30115.5,87371.6,48.0229,50.5102,18527.1,723.784,21.6801,32.9063,10.8026,20.92,15.8613,58743.55,9625.442,1964.4325,49.266549999999995,27.2932,i72_36_dldesign_0
i72_485_dldesign_0,6.84424,22.3195,3542.43,20.1638,8.59357,8.71903,17153.5,111.597,6.57878,5.20551,8174.83,4448.78,6311.805,1781.2968999999998,8632.5485,14.58187,8.6563,5.892145,i72_485_dldesign_0
i73_311_dldesign_0,5.64649,16.8904,5761.24,16.5343,10.1101,7.21575,6853.6,6684.64,4.93408,3.90413,1.41674,3.59233,2.504535,2888.88715,6769.120000000001,11.268445,8.662925,4.419105,i73_311_dldesign_0
