binder_name,binder_evolution_type,binder_target,binder_experiment,staining_0_nM,staining_0.1_nM,staining_1_nM,staining_10_nM,staining_100_nM,coculture CAR Only,coculture K562,coculture K562 BCMA OE,coculture K562 CD19 OE,coculture K562 CD22 OE,coculture Raji,coculture Raji CD19 OE,coculture Raji CD19 KO,coculture RPMI 8226,coculture Nalm6,coculture Nalm6 CD22 OE,coculture DG-75,coculture Ramos,coculture SET-2,coculture U937,coculture A549,coculture Hela,coculture MDA-MB-468
CD19_l112_nonint_4030,non-interface,CD19,CD19_l112,2.4,1.48,0.95,1.83,29.9,57.6,55.1,,60.3,,68.5,,67.5,,,,61.2,52.5,,,,,
CD19_l112_nonint_0999,non-interface,CD19,CD19_l112,1.77,1.17,1.33,1.16,5.81,38.8,37.2,,52.1,,68.9,,67.9,,,,55.3,43.1,,,,,
CD19_l112_nonint_3732,non-interface,CD19,CD19_l112,0.12,0.18,0.18,0.18,0.96,11.2,14.1,,28.4,,49.4,,47.7,,,,19.5,13,,,,,
CD19_l112_int_0963,interface,CD19,CD19_l112,0.61,1.73,52.9,97.1,99,4.79,6.19,,12.6,,18.8,,17,,,,7.42,4.4,,,,,
CD19_l112_int_3137,interface,CD19,CD19_l112,0.13,0.13,0.12,0.19,0.26,8.93,9.88,,27.5,,37.9,,38,,,,66,8.65,,,,,
CD19_l112_int_4066,interface,CD19,CD19_l112,0.17,0.29,0.22,0.23,0.31,88.5,90.6,,90,,94.6,,94.9,,,,92.3,91.8,,,,,
CD19_l112_int_4372,interface,CD19,CD19_l112,0.19,0.18,0.2,0.18,0.26,84.6,86.5,,87,,91.4,,91.7,,,,88.1,86.9,,,,,
CD19_l112_int_1670,interface,CD19,CD19_l112,0.14,0.18,0.15,0.17,0.14,4.45,5.44,,10.5,,16.4,,16.5,,,,6.09,4.7,,,,,
CD19_l112_int_2114,interface,CD19,CD19_l112,0.095,0.1,0.15,0.14,0.23,6.67,8.47,,16.5,,26.6,,25.9,,,,14.5,8,,,,,
CD19_l112_int_3043,interface,CD19,CD19_l112,0.12,0.16,0.092,0.18,0.16,4.1,5.17,,10.7,,13.4,,13.7,,,,6.06,4.29,,,,,
CD19_l112_int_2630,interface,CD19,CD19_l112,0.13,0.16,0.13,0.14,0.22,11.9,12.5,,18.4,,22.1,,22.8,,,,13.3,11.4,,,,,
CD19_l112_int_4756,interface,CD19,CD19_l112,0.2,0.094,0.14,0.11,0.15,24.2,25,,38.9,,57.9,,57.7,,,,35.5,28.2,,,,,
CD19_l112_int_3265,interface,CD19,CD19_l112,0.17,0.16,0.12,0.13,0.17,2.87,3.78,,7.77,,10.6,,10.7,,,,4.11,3.05,,,,,
CD19_l112_int_2534,interface,CD19,CD19_l112,0.081,0.13,0.1,0.18,0.18,5.36,6.5,,12.8,,17,,17.1,,,,6.36,4.74,,,,,
CD19_l115_UTD,neg_control,CD19,CD19_l115,1.58,1.46,1.23,1.52,5.2,2.27,2.96,,7.82,,3.92,,13.7,,,,2.66,2.6,,,,,
CD19_l115_NB,neg_control,CD19,CD19_l115,1.69,1.66,1.9,1.9,5.18,2.44,3.21,,8.87,,12.6,,10.2,,,,3.22,2.5,,,,,
CD19_l115_FMC63,pos_control,CD19,CD19_l115,1.77,35.4,98,99.4,99.6,1.11,1.45,,92.1,,94.8,,5.87,,,,82.3,83.5,,,,,
CD19_l115_int_wildtype,parental,CD19,CD19_l115,4.42,4.56,40.7,88.2,96.5,26.1,29.4,,50.4,,60.1,,57,,,,55,28.4,,,,,
CD19_l115_nonint_4784,non-interface,CD19,CD19_l115,2.86,4.25,3.65,40.8,90.4,51.5,47.5,,56.9,,67.4,,62.6,,,,59.4,54.4,,,,,
CD19_l115_nonint_4959,non-interface,CD19,CD19_l115,2.06,2.09,14.8,94.4,98.3,11.6,13.6,,23.4,,29.8,,24.3,,,,17.2,14.8,,,,,
CD19_l115_int_1633,interface,CD19,CD19_l115,4.03,2.18,1.99,2.42,6.05,5.84,7.23,,21.8,,36,,32.8,,,,15,12.2,,,,,
CD19_l115_int_2621,interface,CD19,CD19_l115,2.2,1.98,2.3,2.17,4.79,0.59,1.09,,3.65,,4.52,,3.7,,,,1.59,0.65,,,,,
CD19_l115_int_4864,interface,CD19,CD19_l115,2.23,1.75,1.92,2.28,4.63,1.39,2.45,,10.7,,25,,21.8,,,,5.22,2.43,,,,,
CD19_l115_nonint_1810,non-interface,CD19,CD19_l115,2.73,3.75,34.4,91.4,97.4,30.9,37.3,,58.1,,64.7,,59.3,,,,50,36.3,,,,,
CD19_l115_int_0203,interface,CD19,CD19_l115,1.84,2.03,2.06,2.27,5.2,0.68,1.02,,5.74,,13.4,,10.6,,,,1.84,1.16,,,,,
CD19_l115_nonint_1986,non-interface,CD19,CD19_l115,1.95,2.09,2.18,3.7,47.9,4.85,5.82,,11.9,,15,,13.3,,,,5.85,5.63,,,,,
CD19_l115_nonint_4561,non-interface,CD19,CD19_l115,3.22,4.57,30.1,90.5,96.7,71.4,68.1,,80,,86.7,,85.9,,,,80.1,73.5,,,,,
CD19_l115_int_3208,interface,CD19,CD19_l115,2.07,2.3,2.27,2.7,4.66,1.21,2.26,,20.5,,30.4,,25.8,,,,25.2,2.4,,,,,
CD19_l115_nonint_4004,non-interface,CD19,CD19_l115,2.9,3.41,16.9,89.8,97.2,53.5,54.7,,73.5,,80.7,,78.3,,,,64.8,53.6,,,,,
CD19_l115_nonint_0547,non-interface,CD19,CD19_l115,2.44,8.76,72.9,96.3,99,46.1,48.3,,54.7,,59.9,,58.2,,,,57,51.8,,,,,
