"binder_id","BCMA_1000_R1","BCMA_1000_R2","BCMA_100_R1","BCMA_100_R2","BCMA_parental_R1","BCMA_parental_R2","BCMA_parental_mean","BCMA_1000_mean","BCMA_100_mean","is_selected"
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i60_12_dldesign_0",58.1138,40.3451,66.6389,55.4048,6208.39,5115.19,5661.79,49.22945,61.02185,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i60_7_dldesign_0",0.103775,0.532608,12.3427,12.7927,508.645,368.073,438.359,0.3181915,12.5677,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i61_32_dldesign_0",57.9581,37.682,118.087,90.6297,6647.45,5663.99,6155.72,47.82005,104.35835,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i62_74_dldesign_0",7.41988,7.65624,38.8677,41.8915,1424.36,1391.61,1407.985,7.53806,40.3796,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i63_78_dldesign_0",52.0948,57.2221,70.5553,69.4587,6174.59,7009.95,6592.27,54.65845,70.007,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i67_98_dldesign_0",323.621,420.061,260.503,265.853,15717.6,20719.3,18218.45,371.841,263.178,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i68_21_dldesign_0",1.19341,1.73098,0,0,284.731,199.2,241.9655,1.462195,0,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i68_76_dldesign_0",34885.1,37892.7,13620.1,11979.2,4665.95,4863.78,4764.865,36388.9,12799.65,TRUE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i6_88_dldesign_0",6408.29,7936.76,563.374,501.076,8297.86,8927.65,8612.755,7172.525,532.225,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i71_39_dldesign_0",3554.38,4254.81,273.914,238.106,3780.32,4868.67,4324.495,3904.595,256.01,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i71_68_dldesign_0",53.1326,60.7506,140.755,115.674,10885.5,12549.3,11717.4,56.9416,128.2145,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i71_76_dldesign_0",5.96704,6.52445,25.9909,17.2971,1447.19,1472.35,1459.77,6.245745,21.644,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i77_14_dldesign_0",139.473,151.727,164.372,160.449,19126.4,22279.7,20703.05,145.6,162.4105,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i77_69_dldesign_0",4.66986,3.52853,2.84832,2.07205,896.842,731.247,814.0445,4.099195,2.460185,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i79_24_dldesign_0",1162.79,1217.11,1014.42,824.406,28279.7,33176.4,30728.05,1189.95,919.413,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i80_34_dldesign_0",0.985858,0.699048,6.40872,8.55847,499.72,362.678,431.199,0.842453,7.483595,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i82_10_dldesign_0",72.1752,77.8274,193.567,165.494,7789.14,9856.55,8822.845,75.0013,179.5305,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i83_32_dldesign_0",0,0,0,0,1.42168,0.310087,0.8658835,0,0,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i84_16_dldesign_0",0,0,0,0,0,0,0,0,0,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i84_25_dldesign_0",0,0,0,0,74.8751,58.1723,66.5237,0,0,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i87_7_dldesign_0",16.3445,11.6508,129.124,100.269,3661.22,3225.46,3443.34,13.99765,114.6965,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i88_4_dldesign_0",21.8964,13.8145,26.1096,22.0718,2092.47,1489.6,1791.035,17.85545,24.0907,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i89_97_dldesign_0",11.8303,14.7799,4.09446,4.77473,1018.4,919.966,969.183,13.3051,4.434595,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i90_57_dldesign_0",0,0.033288,0.05934,0,85.3007,52.9008,69.10075,0.016644,0.02967,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i9_37_dldesign_0",81.1517,68.6732,252.195,228.106,9867.16,9155.13,9511.145,74.91245,240.1505,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i9_46_dldesign_0",5.65571,5.72554,0,0,147.065,182.145,164.605,5.690625,0,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i9_92_dldesign_0",41.5617,23.5346,118.027,93.8729,8033.83,6048.49,7041.16,32.54815,105.94995,FALSE
"BCMAE3NoCondition_1XU2ChainR_R18-R20-R26_50-100_i11_56_dldesign_0",19.6071,9.47218,2.9909,1.85904,53.658,49.1224,51.3902,14.53964,2.42497,FALSE
