cytokine,construct,target,rep1,rep2,rep3,donor
TNFa,B2,K562 mC,0,0,0,3
TNFa,B2,K BCMA mC,3192.349,2983.981,2940.145,3
TNFa,B2,Raji,0,0,0,3
TNFa,B2,RPMI mC,721.071,735.841,699.97,3
TNFa,B5,CAR alone,0,0,0,3
TNFa,B5,K562 mC,0,0,0,3
TNFa,B5,K BCMA mC,5090.848,4850.421,5229.442,3
TNFa,B5,Raji,1363.145,1329.346,1330.676,3
TNFa,B5,RPMI mC,1800.45,1874.155,1974.933,3
IFNG,UTD,CAR alone,25.176,0,25.036,3
IFNG,UTD,K562 mC,0,0,20.453,3
IFNG,UTD,K BCMA mC,0,19.624,23.783,3
IFNG,UTD,Raji,0,18.796,23.366,3
IFNG,UTD,RPMI mC,24.897,31.901,34.438,3
IFNG,NB,CAR alone,19.072,0,20.73,3
IFNG,NB,K562 mC,0,0,36.699,3
IFNG,NB,K BCMA mC,57.275,46.512,57.13,3
IFNG,NB,Raji,39.676,50.376,47.084,3
IFNG,NB,RPMI mC,21.561,0,22.949,3
IFNG,Abecma,CAR alone,0,0,21.977,3
IFNG,Abecma,K562 mC,0,0,0,3
IFNG,Abecma,K BCMA mC,2514.124,2461.391,2505.057,3
IFNG,Abecma,Raji,843.486,883.083,804.742,3
IFNG,Abecma,RPMI mC,2018.746,2203.572,1774.384,3
IFNG,B2,CAR alone,0,0,0,3
IFNG,B2,K562 mC,19.072,24.757,0,3
IFNG,B2,K BCMA mC,1390.132,1375.481,1325.435,3
IFNG,B2,Raji,76.124,76.853,73.21,3
IFNG,B2,RPMI mC,967.438,980.459,927.803,3
IFNG,B5,CAR alone,0,0,19.486,3
IFNG,B5,K562 mC,0,0,18.658,3
IFNG,B5,K BCMA mC,1939.344,1938.78,2018.557,3
IFNG,B5,Raji,387.868,346.613,382.477,3
IFNG,B5,RPMI mC,1438.337,1564.455,1615.832,3
IL-2,UTD,CAR alone,0,0,0,3
IL-2,UTD,K562 mC,0,0,0,3
IL-2,UTD,K BCMA mC,0,0,0,3
IL-2,UTD,Raji,0,0,0,3
IL-2,UTD,RPMI mC,0,0,0,3
IL-2,NB,CAR alone,0,0.324,0,3
IL-2,NB,K562 mC,0,0,0,3
